1.0,48.0,-0.029169735,56.57883604,-8.773762252,1.025936234,6.907842265,0.577535879,1.0,1.0,3.0
41.0,44.0,-1.13366878,193.288449,11.11263304,5.114280051,31.39720615,2.54891547,1.0,1.0,3.0
-4.0,-32.0,-0.473291954,-63.02088758,4.674710191,2.149606108,-0.499854254,-0.674469887,2.0,2.0,1.0
-50.0,-50.0,0.035457553,2.321991265,3.156547578,-15.64785585,-20.93307163,-0.50048386,2.0,2.0,1.0
-39.0,-50.0,-2.78020583,143.1577753,0.535126362,12.02003083,-27.85853001,0.282734471,2.0,3.0,1.0
50.0,50.0,-0.254805017,77.19847527,11.4602,-0.722364004,15.00607371,1.092540002,1.0,2.0,4.0
2.0,-30.0,-0.773785246,92.91447368,-3.959816504,46.22177576,16.1816829,1.235722759,1.0,1.0,3.0
-50.0,-50.0,0.508196183,54.33877896,12.97751195,6.532350927,11.32771388,0.881835391,1.0,3.0,5.0
46.0,44.0,-0.978149659,98.74813924,0.396406741,-4.591503537,3.826364471,0.680915047,1.0,3.0,3.0
38.0,32.0,0.778877209,144.1588416,1.544,-11.8794,-16.67598578,0.21373439,2.0,1.0,3.0
4.0,0.0,-0.687496432,-134.2680841,1.104733333,4.458902299,6.645542236,-0.202675718,1.0,1.0,3.0
-38.0,0.0,-0.394049179,115.9161337,32.80359478,12.97180255,30.1338726,2.051902453,1.0,2.0,3.0
24.0,22.0,-0.376174747,53.40397009,4.231292569,-5.569185481,0.282695581,0.339047117,2.0,2.0,2.0
24.0,29.0,-0.976108175,-16.61277574,5.005907018,-12.578614,0.000407569,-0.089897649,2.0,1.0,2.0
38.0,26.0,-0.410527429,30.62077434,1.340506488,26.81027755,2.216938685,0.218997953,1.0,1.0,4.0
32.0,46.0,1.188924348,-171.4257967,7.338542222,-7.782041783,7.635199341,-0.563903568,1.0,1.0,3.0
31.0,28.0,0.470807777,6.060306778,-27.99486145,-59.13506129,-65.59430916,-2.643374901,1.0,1.0,3.0
47.0,49.0,-0.750189376,-18.44333651,-12.07614922,-11.52835473,-1.960211783,-0.231108929,1.0,2.0,4.0
8.0,29.0,-0.110064679,64.04567972,-14.25579246,15.63022496,9.568636939,0.85566195,1.0,1.0,4.0
